img_obj,url,width,height,format
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A608E0>,https://i.travelapi.com/hotels/1000000/50000/49800/49705/9c2a8b84_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4998A61480>,https://i.travelapi.com/hotels/1000000/20000/13200/13144/23bcdecd_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x189 at 0x7E4998A60FD0>,https://i.travelapi.com/hotels/2000000/1400000/1393500/1393456/72401b9b_b.jpg,350,189,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A61330>,https://i.travelapi.com/hotels/2000000/1960000/1957200/1957192/24c73a96_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4999422A40>,https://i.travelapi.com/hotels/2000000/1750000/1744100/1744081/0ea36ec9_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A61930>,https://i.travelapi.com/hotels/8000000/7730000/7728300/7728219/f034a12e_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x263 at 0x7E4998A61450>,https://i.travelapi.com/hotels/2000000/1510000/1509900/1509855/a717eb8c_b.jpg,350,263,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x166 at 0x7E4998A60A90>,https://i.travelapi.com/hotels/1000000/390000/384500/384488/412615b1_b.jpg,350,166,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A61B10>,https://i.travelapi.com/hotels/4000000/3610000/3600200/3600159/0e622279_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4998A61A50>,https://i.travelapi.com/hotels/3000000/2790000/2783600/2783517/78a8d57d_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=233x350 at 0x7E4998A61AB0>,https://i.travelapi.com/hotels/4000000/3130000/3125600/3125521/6ef82969_b.jpg,233,350,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A60C40>,https://i.travelapi.com/hotels/4000000/3080000/3070200/3070138/77c1044b_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999600FA0>,https://i.travelapi.com/hotels/5000000/4480000/4478600/4478576/a2430f19_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x209 at 0x7E4998A61300>,https://i.travelapi.com/hotels/3000000/2170000/2164000/2163929/0489a169_b.jpg,350,209,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x197 at 0x7E4998A60DC0>,https://i.travelapi.com/hotels/1000000/30000/27100/27024/6b27fd58_b.jpg,350,197,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4998A613C0>,https://i.travelapi.com/hotels/1000000/530000/526400/526333/c8907145_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4998A607C0>,https://i.travelapi.com/hotels/1000000/570000/565800/565710/14701b78_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4998A60F10>,https://i.travelapi.com/hotels/4000000/3310000/3307900/3307825/b5c67a8a_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A610F0>,https://i.travelapi.com/hotels/1000000/1000000/996600/996505/264de062_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999423010>,https://i.travelapi.com/hotels/10000000/9630000/9621200/9621172/a4eed81a_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x280 at 0x7E4998A60A60>,https://i.travelapi.com/hotels/2000000/1510000/1505600/1505580/c00c845b_b.jpg,350,280,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x272 at 0x7E4998A621D0>,https://i.travelapi.com/hotels/2000000/1810000/1802800/1802737/e6a983e6_b.jpg,350,272,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A61ED0>,https://i.travelapi.com/hotels/1000000/700000/691700/691635/aebe796e_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x219 at 0x7E4998A60FA0>,https://i.travelapi.com/hotels/2000000/1680000/1671600/1671511/3724441e_b.jpg,350,219,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A61C00>,https://i.travelapi.com/hotels/1000000/920000/911600/911534/8b37d06c_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4998A615A0>,https://i.travelapi.com/hotels/1000000/570000/565600/565554/a9866de8_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A609A0>,https://i.travelapi.com/hotels/2000000/1570000/1563300/1563251/419a1163_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A61240>,https://i.travelapi.com/hotels/2000000/1490000/1487000/1486918/5c98924b_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x228 at 0x7E4998A61630>,https://i.travelapi.com/hotels/3000000/2740000/2737200/2737111/92177e27_b.jpg,350,228,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=308x350 at 0x7E4998A61780>,https://i.travelapi.com/hotels/4000000/3560000/3555600/3555532/5dbb57c2_b.jpg,308,350,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1024 at 0x7E4999423D30>,https://traffickcam.com/images/2017/7/20160625_105043_T6FLYS.jpg,768,1024,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x263 at 0x7E499956EB30>,https://i.travelapi.com/hotels/1000000/20000/14200/14138/e6c38fdf_b.jpg,350,263,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x263 at 0x7E4999423790>,https://i.travelapi.com/hotels/1000000/990000/989000/988941/49cd151e_b.jpg,350,263,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x191 at 0x7E4999422AA0>,https://i.travelapi.com/hotels/1000000/200000/190900/190827/bf2528d5_b.jpg,350,191,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999422230>,https://i.travelapi.com/hotels/3000000/2120000/2113400/2113393/be5b3aa1_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4998A62110>,https://i.travelapi.com/hotels/2000000/1350000/1340700/1340606/748de212_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A61270>,https://i.travelapi.com/hotels/3000000/2450000/2442700/2442699/2e90450a_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x263 at 0x7E4998A60820>,https://i.travelapi.com/hotels/1000000/10000/9800/9715/1df6be5a_b.jpg,350,263,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x350 at 0x7E4999422DD0>,https://i.travelapi.com/hotels/1000000/700000/698900/698858/118f27d5_b.jpg,350,350,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A620B0>,https://i.travelapi.com/hotels/5000000/4250000/4247200/4247140/2e7f7b10_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A61870>,https://i.travelapi.com/hotels/1000000/30000/26100/26015/d7f5e8cb_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x263 at 0x7E4998A61F00>,https://i.travelapi.com/hotels/5000000/4540000/4533400/4533400/a99b5816_b.jpg,350,263,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A61AE0>,https://i.travelapi.com/hotels/1000000/30000/27800/27762/1180a3c7_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A626B0>,https://i.travelapi.com/hotels/1000000/690000/687800/687737/1ff76824_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=210x350 at 0x7E4998A624D0>,https://i.travelapi.com/hotels/2000000/1610000/1604200/1604179/c7372953_b.jpg,210,350,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A62B90>,https://i.travelapi.com/hotels/1000000/200000/190600/190592/21d3e4db_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1024 at 0x7E4999602B90>,https://traffickcam.com/images/2017/11/20161010_023624_BWAT1W.jpg,768,1024,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A62200>,https://i.travelapi.com/hotels/1000000/330000/328200/328182/e5c32df6_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x263 at 0x7E4998A62530>,https://i.travelapi.com/hotels/1000000/490000/483200/483172/393940a8_b.jpg,350,263,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1024 at 0x7E4998A604C0>,https://traffickcam.com/images/2018/4/20170309_025548_12R2SG.jpg,768,1024,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=4032x3024 at 0x7E4998A616C0>,https://traffickcam.com/images/2019/6/20180516_005454_76QSQD.jpg,4032,3024,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A60160>,https://i.travelapi.com/hotels/6000000/5010000/5002100/5002072/0387197e_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x197 at 0x7E4998A61210>,https://i.travelapi.com/hotels/6000000/5970000/5964300/5964265/077bebf3_b.jpg,350,197,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A62CE0>,https://i.travelapi.com/hotels/3000000/2840000/2835800/2835727/2e2b1620_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x267 at 0x7E4998A628F0>,https://i.travelapi.com/hotels/2000000/1250000/1249700/1249686/78f8539b_b.jpg,350,267,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A62C50>,https://i.travelapi.com/hotels/2000000/1670000/1663100/1663097/c0de4db7_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A62F20>,https://i.travelapi.com/hotels/7000000/6320000/6317400/6317339/7a8f51f2_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4998A631F0>,https://i.travelapi.com/hotels/2000000/1810000/1802800/1802744/10280923_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x215 at 0x7E4998A62B00>,https://i.travelapi.com/hotels/1000000/290000/284900/284863/b2915819_b.jpg,350,215,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4998A63100>,https://i.travelapi.com/hotels/1000000/30000/25300/25204/d5476461_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A619C0>,https://i.travelapi.com/hotels/3000000/2950000/2945700/2945700/da35243e_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A61900>,https://i.travelapi.com/hotels/5000000/4950000/4942800/4942760/2a46caf0_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A62770>,https://i.travelapi.com/hotels/1000000/40000/34700/34601/21fda76f_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A62140>,https://i.travelapi.com/hotels/1000000/920000/918600/918523/a1658f3d_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4998A634C0>,https://i.travelapi.com/hotels/4000000/3160000/3152200/3152127/be38934f_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x350 at 0x7E4998A62CB0>,https://i.travelapi.com/hotels/1000000/200000/190700/190653/4e331219_b.jpg,263,350,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1024 at 0x7E4998A62B60>,https://traffickcam.com/images/2017/9/20160813_034422_M6M6ML.jpg,768,1024,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A61D80>,https://i.travelapi.com/hotels/2000000/1470000/1462300/1462293/dfa79c5b_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A63700>,https://i.travelapi.com/hotels/1000000/10000/4800/4708/c28efb32_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A60190>,https://i.travelapi.com/hotels/2000000/1480000/1471900/1471851/9a871402_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A61E40>,https://i.travelapi.com/hotels/3000000/2670000/2667000/2666959/4e586866_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A638B0>,https://i.travelapi.com/hotels/2000000/1720000/1717300/1717277/a28eda57_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4998A60F70>,https://i.travelapi.com/hotels/1000000/890000/889900/889887/b181ba96_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4998A62F80>,https://i.travelapi.com/hotels/3000000/2530000/2529800/2529716/dfb28169_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x768 at 0x7E4998A63850>,https://traffickcam.com/images/2017/12/20161121_171627_M0T285.jpg,1024,768,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x263 at 0x7E4998A62D70>,https://i.travelapi.com/hotels/7000000/6030000/6022500/6022459/d3715916_b.jpg,350,263,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x197 at 0x7E4999423A90>,https://i.travelapi.com/hotels/3000000/2380000/2378200/2378195/99805d2c_b.jpg,350,197,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999420DF0>,https://i.travelapi.com/hotels/2000000/1240000/1234400/1234369/79d2dc80_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E49A0913A90>,https://i.travelapi.com/hotels/7000000/6310000/6308100/6308068/0f51a648_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999600040>,https://i.travelapi.com/hotels/1000000/20000/11200/11141/52372d8f_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E49A0962290>,https://i.travelapi.com/hotels/2000000/1280000/1271300/1271284/67b66ccc_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x350 at 0x7E49A09CC5E0>,https://i.travelapi.com/hotels/2000000/1580000/1573800/1573789/b0a4e187_b.jpg,263,350,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999420B20>,https://i.travelapi.com/hotels/1000000/20000/15100/15030/1d818938_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x229 at 0x7E49AE1D6110>,https://i.travelapi.com/hotels/6000000/5440000/5434600/5434559/5dd81626_b.jpg,350,229,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x180 at 0x7E49AE1D44F0>,https://i.travelapi.com/hotels/5000000/4410000/4407000/4406970/52a34bba_b.jpg,350,180,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x197 at 0x7E49AE1D5B70>,https://i.travelapi.com/hotels/7000000/6290000/6283700/6283641/2d1c6140_b.jpg,350,197,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x263 at 0x7E4999603FD0>,https://i.travelapi.com/hotels/5000000/4730000/4726900/4726829/61a4bfd5_b.jpg,350,263,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E49AE1D6380>,https://i.travelapi.com/hotels/1000000/20000/14500/14420/272c5327_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E49A09CECB0>,https://i.travelapi.com/hotels/1000000/430000/421900/421810/17458a52_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999603E20>,https://i.travelapi.com/hotels/1000000/10000/700/608/6d888708_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=232x350 at 0x7E4999603EB0>,https://i.travelapi.com/hotels/3000000/2930000/2926300/2926273/2c6866c0_b.jpg,232,350,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999420D30>,https://i.travelapi.com/hotels/1000000/20000/17800/17746/98d28ab3_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4999421C30>,https://i.travelapi.com/hotels/1000000/910000/907100/907016/31c43a4f_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E49AE1D63B0>,https://i.travelapi.com/hotels/1000000/10000/5500/5495/cc290c3e_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4999421390>,https://i.travelapi.com/hotels/3000000/2140000/2139600/2139554/0eed8165_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x219 at 0x7E49994237F0>,https://i.travelapi.com/hotels/5000000/4130000/4125700/4125633/e07f61cf_b.jpg,350,219,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E49AE1D4790>,https://i.travelapi.com/hotels/13000000/12990000/12988500/12988492/5e09de46_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1024 at 0x7E4999603DC0>,https://traffickcam.com/images/2017/10/20160918_015605_J93W8J.jpg,768,1024,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x232 at 0x7E4999421570>,https://i.travelapi.com/hotels/1000000/900000/898200/898116/bcb5530c_b.jpg,350,232,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E49A09CE1D0>,https://i.travelapi.com/hotels/1000000/20000/14300/14293/203f915e_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x213 at 0x7E49A09CC160>,https://i.travelapi.com/hotels/6000000/5310000/5300700/5300606/1a86ab8b_b.jpg,350,213,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E49A09CCDC0>,https://i.travelapi.com/hotels/2000000/1200000/1192500/1192461/b7b55ae9_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=234x350 at 0x7E49994212D0>,https://i.travelapi.com/hotels/7000000/6060000/6052300/6052262/106acc25_b.jpg,234,350,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x262 at 0x7E4999421000>,https://i.travelapi.com/hotels/6000000/5200000/5197500/5197449/94c1b3e2_b.jpg,350,262,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1152x1920 at 0x7E4999603F70>,https://traffickcam.com/images/2019/6/20180524_123547_K7XSD8.jpg,1152,1920,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E49AE1D67A0>,https://i.travelapi.com/hotels/6000000/5340000/5336600/5336595/a991f640_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999421420>,https://i.travelapi.com/hotels/2000000/1070000/1064600/1064532/abe3dbca_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4999421660>,https://i.travelapi.com/hotels/2000000/1100000/1098400/1098345/a4a133d3_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999420C10>,https://i.travelapi.com/hotels/1000000/110000/105600/105546/b08f99d3_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x243 at 0x7E49994211E0>,https://i.travelapi.com/hotels/12000000/11030000/11022000/11021985/29091792_b.jpg,350,243,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4999422020>,https://i.travelapi.com/hotels/1000000/560000/559800/559708/dbae0978_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E49994207C0>,https://i.travelapi.com/hotels/1000000/10000/7000/6980/6af2a884_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E499956DEA0>,https://i.travelapi.com/hotels/2000000/1570000/1567200/1567142/2954bb47_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E49B06E29E0>,https://i.travelapi.com/hotels/1000000/920000/910400/910327/40ba9c89_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1024 at 0x7E49AE1D6200>,https://traffickcam.com/images/2017/8/20160704_032428_VNFUL7.jpg,768,1024,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E499956E950>,https://i.travelapi.com/hotels/1000000/970000/967500/967413/15a1e71d_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x234 at 0x7E4999422CB0>,https://i.travelapi.com/hotels/1000000/900000/891200/891152/ea6d7c7b_b.jpg,350,234,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E499956F400>,https://i.travelapi.com/hotels/1000000/30000/22500/22434/8a8ebfec_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x186 at 0x7E499956E890>,https://i.travelapi.com/hotels/2000000/1780000/1773200/1773107/c8e5c094_b.jpg,350,186,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E4999421C60>,https://i.travelapi.com/hotels/1000000/30000/27300/27278/0fe4c08f_b.jpg,350,233,JPEG
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x233 at 0x7E499956DE10>,https://i.travelapi.com/hotels/5000000/4520000/4513300/4513254/0d3d6ae3_b.jpg,350,233,JPEG
